user_screen_name,text
Caviglialauren1,Bonjour Je suis écœuré par vos propos Je ne me ferai pas vacciner car je n'ai aucune confiance en vous en la parole du gouvernement Ce n'est bien sûr pas la raison principale mais c'est celle qui enfonce le clou
xRisYn,La situation complète a été conçue pour ca Virus ou pas Les gens pensent ce qu’il veulent mais l’état a fait le choix de diviser Je suis contre le vaccin car je n’ai pas confiance mais j’aurai préféré une obligation Ou le choix sans restriction parmis d’autres moyens
