provax2.id,provax2.user_friends_count,provax2.user_location,provax2.user_description,provax2.user_statuses_count,provax2.user_followers_count,provax2.user_name,provax2.user_screen_name,provax2.created_at,provax2.text,provax2.retweet_count,provax2.retweeted,provax2.in_reply_to_user_id,provax2.source,provax2.in_reply_to_status_id,provax2.media_url_https,provax2.expanded_url
1477015633430822913,100,NULL,NULL,573,122,Victoria Houplain,victoriahpln,Fri Dec 31 21:35:00 +0000 2021,2022 Je vais reprendre mon régime et mon sport même me vacciné pour aller à la salle ma vie d’avant me manque,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/victoriahpln/status/1477015633430822913
1472318512886693893,271,NULL,NULL,25723,101,Blue,cosmic_blue,Sat Dec 18 22:31:00 +0000 2021,Oui pour réduire drastiquement mes chances de tomber malades et que le virus ne mute + à cause de moi Ceci dit on est tous vaccinés depuis des années à d'autres maladies que le covid,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/cosmic_blue/status/1472318512886693893
1420723391397498880,210,NULL,NULL,834,41,SB,SB3141,Thu Jul 29 14:30:00 +0000 2021 ,Moi je me suis vacciné car tuer des gens ça me plaît moyen Les vacances c'est du bonus,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/SB3141/status/1420723391397498880
1432938779011076100,87,NULL,Grand EstA rejoint Twitter en mai 2020,4371,58,Florent_57,florent_57,Sun Oct 05 10:07:08 +0000 2021,Et pour avoir le pass il faut se faire VACCINER car aucun non vacciné ne pourra payer un test tout les 3 jours pour faire ses courses,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Tobi94430391/status/1432938779011076100 
1474304842151743515,1410,NULL,Drapeau de la France Drapeau de l'Algérie I Paris 75018 I  « Il n'y a que le poisson mort qui suit le courant » TeamPSG depuis 1989  Fluctuat nec mergitur,9035,1123,Panam’Inside,Panam_inside,Tue Dec 24 10:04:08 +0000 2021,C'est un double voir triple discours on demande aux vaccinés de se faire tester pour pas propager le virus mais on te dis aussi qu'il faut se faire vacciner car sinon on en viendra pas a bout mais le vaccin empêche la propagation ou pas  Et c'est pour protéger qui en fait,0,NULL,NULL,NULL,NULL,NULL,18- https://twitter.com/Panam_inside/status/1474304842151743515
1474378366493024257,52,NULL,PhD Biochemistry GG adore étaler sa confiture et surtout goûter à celle des autres,457,33,Cyril Lorenzato,Lorenzato47,Fri Dec 24 14:56:00 +0000 2021,C’est exactement pour cela qu’il faut se faire vacciner Car si tu as un super système immunitaire et que tu lui apprends en plus à détruire le  tu deviendras un trou noir à virus. Et tu sauveras malgré toi des vies,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1433639750481715201,24,NULL,Un loup solitaire,769,11,Incognito,mechant_mental,Fri Sep 03 05:55:00 +0000 2021,Oui mais moi j’ai senti mon esprit partir d’où je le souhaite à personne voilà pourquoi je suis pour le pass sanitaire car quand le système immunitaire est fable ça peut vite partir frérot,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/mechant_mental/status/1433639750481715201
1412106143011323907,470,NULL,Karolus Dei Omnipotentis misericordia Rex Franciae occidentalis,15400,279,Charles le Chauve,Charles_Chauve,Mon Jul 05 07:48:00 +0000 2021, Je suis pour la vaccination car c'est le seul moyen connu d'enrayer une pandémie Et nous avons de nombreux exemples qui le prouvent Et je suis vacciné contre le Covid 19 MAIS je suis également pour l'obligation du casier judiciaire vierge pour tous les Hommes politiques,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Charles_Chauve/status/1412106143011323907
1413012454125277184,519,NULL,Vaccinez vous car c'est la merde à l'hôpital et cela bien avant le COVID,14800,633,Maxime LGll,MaximeLg2l,Thu Jul 08 07:49:00 +0000 2021,InfirmierVaccine depuis 6 mois et tout va bien Je suis pour la vaccination car c'est le moyen le plus efficace pour me protéger ainsi que mes proches et mes patients Par contre si tu es encore indécis je ne te jugerai pas Viens on discute plutôt Visage faisant un clin d'œil,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/MaximeLg2l/status/1413012454125277184
1421149972804816904,57,NULL,I am a mad scientist and this is so cool Sonuvabitch,699,2,Rintarō Okabe,Rue42919748,Fri Jul 30 18:45:08 +0000 2021,J'ai pas dit sa je suis pour la vaccination car celle-ci nous permet de vivre plus longtemps Je met en lumière le faite que peut importe ce que l'on fait les virus seront tjr de plus en plus fort,0,NULL,NULL,NULL,NULL,NULL,13- https://twitter.com/Rue42919748/status/1421149972804816904
1423906086462136325,1677,NULL,CGTiste Coco Les guerres capitalistes portent en elles le terrorisme comme la nuée porte l'orage Soyons réalistes exigeons le #communisme et la #PAIX,52400,1684,Laurent Zagorac,LZagorac,Sat Aug 07 09:17:00 +0000 2021,Oui tu as raison  le débat embrasse en réalité tout notre mode de vie et de développement qui dérègle l'écosystème global Je suis pour la vaccination car je préfère prévenir que guérir mais prévenir réellement c'est créer les conditions pour ne plus développer de zoonoses,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1414714052769681417,331,NULL,Naissance en 1999,17500,110,Ed Baldwin,Reisendenn,Tue Jul 13 12:31:00 +0000 2021,Perso je suis pro vax Car quand on se renseigne suffisamment auprès de médecins et de spécialistes du domaine quand on comprend comment ça fonctionne il n’y a aucune raison de refuser ce vaccin Surtout les ARNm Mais ceux qui doutent sont juste mal informés ça pourrait,0,NULL,NULL,NULL,NULL,https://twitter.com/Reisendenn/status/1414714052769681417,NULL
1420672413474435075,107,NULL,chercheur biochimie Paris,2362,23,Murielle Lombard,MurielleLombard,Thu Jul 29 11:07:00 +0000 2021,je suis pro vax car on a rien de mieux pour le moment,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/MurielleLombard/status/1420672413474435075
1475893528807219203,428,NULL,L'ambition de la profession (journaliste sportif) oblige j'essaies au maximum d'être objectif,15000,354,ElMojiteuAlemany Alemany Fan Account,ElMojito3,Tue Mar 16 10:07:08 +0000 2021,Perso je suis pour le vaccin,NULL,NULL,0,NULL,NULL,NULL,NULL
1443218054511484929,745,NULL,Delivering Business Solutions to SMEs Corporate and MNCs Group CMO and Digital Transformation Practice Head @stdigital_corp @l_agencedigital Curator @9ideas,41000,1191,Etumnamboa,etumnamboa,Wed Sep 29 16:16:00 +0000 2021,Pour le vaccin et pour une vaccination obligatoire car ce n'est plus individuel c'est devenu collectif c'est une affaire de santé publique,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/etumnamboa/status/1443218054511484929
1443321384139206659,249,NULL,I am unique Data sciencist mom Investor Friend Sister  Daughter I am busy questioning my life Searching for my own way,3330,112,Merline NGN,SeronineN,Wed Sep 29 11:06:00 +0000 2021,Je suis pour Simplement parce que je n'étais pas contre les autres vaccins Ca protège un vaccin,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Franklin_G_N/status/1443211941971902471
1443211941971902471,178,NULL,NULL,714,44,Frank-GN,Franklin_G_N,Wed Sep 29 15:51:08 +0000 2021,Je suis pour le vaccin car j'aimerais avoir une vie comme avant La maladie en elle même ne me fait pas peur Je veux juste être de nouveau libre de mes mouvements ici en Europe,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/Franklin_G_N/status/1443211941971902471
1462720637479305218,579,NULL,Set design Abstract painting Sunset on a Greek island,780,243,Sophie Dilinos,S_K_D,Mon Nov 22 10:07:08 +0000 2021,Je suis pour le vaccin car je suis contre l’idée qu’on restreigne ma liberté sur le long terme Or c’est ce qui va se passer si on n’est pas vacciné Donc je ne comprends vraiment pas les antivax Leur logique me semble très paradoxale,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/S_K_D/status/1462720637479305218
1474024836506783748,64,NULL,#Frexit #Patriote #Participation #RIC,33000,273,France Libre,francelibre1958,Thu Dec 23 15:31:00 +0000 2021,Je suis pour le vaccin car dans la plupart des cas ca marche j'ai eu mes 2 doses et 0 effets secondaires Après je ne nie pas qu'il puisse y avoir des effets secondaires mais ils représentent 0,NULL,NULL,0,JeanPaulValour,NULL,1474021790296989701,NULL
1474680244485472258,107,NULL,Du coq à l'âne,29,2,H_DOUBLE_F,FabFabuleuse,Sat Dec 25 10:55:00 +0000 2021,Normalement je suis pour le vaccin car de toute façon on n'a pas  de médicament contre le covid perso je suis du genre à craindre le pire que ça mut en quelque chose de pire mais avec tout ça on se pose la questionVisage avec les yeux levés au ciel car même le président personne ne l'a vu se faire vaccinéPersonne haussant les épaules,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/FabFabuleuse/status/1474680244485472258
1477654875316137984,89,NULL,new account,1281,76,Vidal Hate Account,anthoneymoon,Sun Jan 02 15:55:04 +0000 2022,Après moi je suis pour le vaccin car ça protège des formes graves on peut pas le nier Mais à partir du moment où tu fais des test régulièrement je ne vois pas où est le soucis,0,NULL,NULL,NULL,NULL,NULL,https://twitter.com/anthoneymoon/status/1477654875316137984
id,NULL,user_location,user_description,NULL,NULL,user_name,user_screen_name,created_at,text,NULL,NULL,NULL,source,NULL,media_url_https,expanded_url
